realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,2015-12-01,21394
2018-12-11,2018-12-11,2016-01-01,21176
2018-12-11,2018-12-11,2016-02-01,21587
2018-12-11,2018-12-11,2016-03-01,21401
2018-12-11,2018-12-11,2016-04-01,21262
2018-12-11,2018-12-11,2016-05-01,21535
2018-12-11,2018-12-11,2016-06-01,21570
2018-12-11,2018-12-11,2016-07-01,21466
2018-12-11,2018-12-11,2016-08-01,21693
2018-12-11,2018-12-11,2016-09-01,21750
2018-12-11,2018-12-11,2016-10-01,21596
2018-12-11,2018-12-11,2016-11-01,21462
2018-12-11,2018-12-11,2016-12-01,21768
2018-12-11,2018-12-11,2017-01-01,21889
2018-12-11,2018-12-11,2017-02-01,21153
2018-12-11,2018-12-11,2017-03-01,21696
2018-12-11,2018-12-11,2017-04-01,21665
2018-12-11,2018-12-11,2017-05-01,21498
2018-12-11,2018-12-11,2017-06-01,21848
2018-12-11,2018-12-11,2017-07-01,21770
2018-12-11,2018-12-11,2017-08-01,21940
2018-12-11,2018-12-11,2017-09-01,21965
2018-12-11,2018-12-11,2017-10-01,22034
2018-12-11,2018-12-11,2017-11-01,22266
2018-12-11,2018-12-11,2017-12-01,21980
2018-12-11,2018-12-11,2018-01-01,22207
2018-12-11,2018-12-11,2018-02-01,22316
2018-12-11,2018-12-11,2018-03-01,22343
2018-12-11,2018-12-11,2018-04-01,22674
2018-12-11,2018-12-11,2018-05-01,23323
2018-12-11,2018-12-11,2018-06-01,23080
2018-12-11,2018-12-11,2018-07-01,23458
2018-12-11,2018-12-11,2018-08-01,22761
2018-12-11,2018-12-11,2018-09-01,22937
